,PlotID,Time,Sensor,Temperature
104,Trial2,2013-05-16 09:49:50,iButton,32.041
105,Trial2,2013-05-16 09:49:55,iButton,32.542
106,Trial2,2013-05-16 09:50:00,iButton,33.043
107,Trial2,2013-05-16 09:50:05,iButton,33.043
108,Trial2,2013-05-16 09:50:10,iButton,33.545
109,Trial2,2013-05-16 09:50:15,iButton,33.545
110,Trial2,2013-05-16 09:50:20,iButton,34.046
111,Trial2,2013-05-16 09:50:25,iButton,34.547
112,Trial2,2013-05-16 09:50:30,iButton,34.547
113,Trial2,2013-05-16 09:50:35,iButton,35.049
114,Trial2,2013-05-16 09:50:40,iButton,35.049
115,Trial2,2013-05-16 09:50:45,iButton,35.55
116,Trial2,2013-05-16 09:50:50,iButton,36.051
117,Trial2,2013-05-16 09:50:55,iButton,36.051
118,Trial2,2013-05-16 09:51:00,iButton,36.552
119,Trial2,2013-05-16 09:51:05,iButton,36.552
120,Trial2,2013-05-16 09:51:10,iButton,37.053
121,Trial2,2013-05-16 09:51:15,iButton,37.053
122,Trial2,2013-05-16 09:51:20,iButton,37.053
123,Trial2,2013-05-16 09:51:25,iButton,37.554
124,Trial2,2013-05-16 09:51:30,iButton,37.554
125,Trial2,2013-05-16 09:51:35,iButton,38.055
126,Trial2,2013-05-16 09:51:40,iButton,38.055
127,Trial2,2013-05-16 09:51:45,iButton,38.556
128,Trial2,2013-05-16 09:51:50,iButton,38.556
129,Trial2,2013-05-16 09:51:55,iButton,38.556
130,Trial2,2013-05-16 09:52:00,iButton,39.058
131,Trial2,2013-05-16 09:52:05,iButton,39.058
132,Trial2,2013-05-16 09:52:10,iButton,39.058
133,Trial2,2013-05-16 09:52:15,iButton,39.559
134,Trial2,2013-05-16 09:52:20,iButton,39.559
135,Trial2,2013-05-16 09:52:25,iButton,39.559
136,Trial2,2013-05-16 09:52:30,iButton,39.559
137,Trial2,2013-05-16 09:52:35,iButton,40.059
138,Trial2,2013-05-16 09:52:40,iButton,40.059
139,Trial2,2013-05-16 09:52:45,iButton,40.059
140,Trial2,2013-05-16 09:52:50,iButton,40.059
141,Trial2,2013-05-16 09:52:55,iButton,40.56
142,Trial2,2013-05-16 09:53:00,iButton,40.56
143,Trial2,2013-05-16 09:53:05,iButton,40.56
144,Trial2,2013-05-16 09:53:10,iButton,40.56
145,Trial2,2013-05-16 09:53:15,iButton,40.56
146,Trial2,2013-05-16 09:53:20,iButton,41.061
147,Trial2,2013-05-16 09:53:25,iButton,41.061
148,Trial2,2013-05-16 09:53:30,iButton,41.061
149,Trial2,2013-05-16 09:53:35,iButton,41.061
150,Trial2,2013-05-16 09:53:40,iButton,41.061
151,Trial2,2013-05-16 09:53:45,iButton,41.061
152,Trial2,2013-05-16 09:53:50,iButton,41.061
153,Trial2,2013-05-16 09:53:55,iButton,41.562
154,Trial2,2013-05-16 09:54:00,iButton,41.562
155,Trial2,2013-05-16 09:54:05,iButton,41.562
156,Trial2,2013-05-16 09:54:10,iButton,41.562
157,Trial2,2013-05-16 09:54:15,iButton,41.562
158,Trial2,2013-05-16 09:54:20,iButton,41.562
159,Trial2,2013-05-16 09:54:25,iButton,41.562
160,Trial2,2013-05-16 09:54:30,iButton,41.562
161,Trial2,2013-05-16 09:54:35,iButton,41.562
162,Trial2,2013-05-16 09:54:40,iButton,41.562
163,Trial2,2013-05-16 09:54:45,iButton,41.562
164,Trial2,2013-05-16 09:54:50,iButton,41.562
165,Trial2,2013-05-16 09:54:55,iButton,41.562
166,Trial2,2013-05-16 09:55:00,iButton,41.562
167,Trial2,2013-05-16 09:55:05,iButton,42.063
168,Trial2,2013-05-16 09:55:10,iButton,42.063
169,Trial2,2013-05-16 09:55:15,iButton,42.063
170,Trial2,2013-05-16 09:55:20,iButton,42.063
171,Trial2,2013-05-16 09:55:25,iButton,42.063
172,Trial2,2013-05-16 09:55:30,iButton,42.063
173,Trial2,2013-05-16 09:55:35,iButton,42.063
174,Trial2,2013-05-16 09:55:40,iButton,42.063
175,Trial2,2013-05-16 09:55:45,iButton,42.063
176,Trial2,2013-05-16 09:55:50,iButton,42.063
177,Trial2,2013-05-16 09:55:55,iButton,42.063
178,Trial2,2013-05-16 09:56:00,iButton,42.063
179,Trial3,2013-05-16 10:52:30,iButton,29.032
180,Trial3,2013-05-16 10:52:35,iButton,29.032
181,Trial3,2013-05-16 10:52:40,iButton,29.533
182,Trial3,2013-05-16 10:52:45,iButton,29.533
183,Trial3,2013-05-16 10:52:50,iButton,30.035
184,Trial3,2013-05-16 10:52:55,iButton,30.536
185,Trial3,2013-05-16 10:53:00,iButton,31.038
186,Trial3,2013-05-16 10:53:05,iButton,31.539
187,Trial3,2013-05-16 10:53:10,iButton,32.542
188,Trial3,2013-05-16 10:53:15,iButton,33.043
189,Trial3,2013-05-16 10:53:20,iButton,34.046
190,Trial3,2013-05-16 10:53:25,iButton,35.049
191,Trial3,2013-05-16 10:53:30,iButton,35.55
192,Trial3,2013-05-16 10:53:35,iButton,36.552
193,Trial3,2013-05-16 10:53:40,iButton,37.554
194,Trial3,2013-05-16 10:53:45,iButton,38.556
195,Trial3,2013-05-16 10:53:50,iButton,39.559
196,Trial3,2013-05-16 10:53:55,iButton,40.56
197,Trial3,2013-05-16 10:54:00,iButton,41.562
198,Trial3,2013-05-16 10:54:05,iButton,42.564
199,Trial3,2013-05-16 10:54:10,iButton,43.566
200,Trial3,2013-05-16 10:54:15,iButton,44.567
201,Trial3,2013-05-16 10:54:20,iButton,45.568
202,Trial3,2013-05-16 10:54:25,iButton,46.069
203,Trial3,2013-05-16 10:54:30,iButton,47.07
