PlotID,Time,Temperature
Trial1,5/16/13 08:34:45,29.533
Trial1,5/16/13 08:34:50,29.533
Trial1,5/16/13 08:34:55,29.533
Trial1,5/16/13 08:35:00,29.533
Trial1,5/16/13 08:35:05,29.533
Trial1,5/16/13 08:35:10,29.533
Trial1,5/16/13 08:35:15,29.533
Trial1,5/16/13 08:35:20,29.533
Trial1,5/16/13 08:35:25,29.533
Trial1,5/16/13 08:35:30,29.533
Trial1,5/16/13 08:35:35,29.533
Trial1,5/16/13 08:35:40,29.533
Trial1,5/16/13 08:35:45,29.533
Trial1,5/16/13 08:35:50,29.533
Trial1,5/16/13 08:35:55,29.533
Trial1,5/16/13 08:36:00,29.533
Trial1,5/16/13 08:36:05,29.533
Trial1,5/16/13 08:36:10,29.533
Trial1,5/16/13 08:36:15,29.533
Trial1,5/16/13 08:36:20,29.533
Trial1,5/16/13 08:36:25,29.533
Trial1,5/16/13 08:36:30,29.533
Trial1,5/16/13 08:36:35,29.533
Trial1,5/16/13 08:36:40,29.533
Trial1,5/16/13 08:36:45,29.533
Trial1,5/16/13 08:36:50,29.533
Trial1,5/16/13 08:36:55,29.533
Trial1,5/16/13 08:37:00,29.533
Trial1,5/16/13 08:37:05,29.533
Trial1,5/16/13 08:37:10,29.533
Trial1,5/16/13 08:37:15,29.533
Trial1,5/16/13 08:37:20,29.533
Trial1,5/16/13 08:37:25,29.533
Trial1,5/16/13 08:37:30,29.533
Trial1,5/16/13 08:37:35,29.533
Trial1,5/16/13 08:37:40,29.533
Trial1,5/16/13 08:37:45,29.533
Trial1,5/16/13 08:37:50,29.533
Trial1,5/16/13 08:37:55,30.035
Trial1,5/16/13 08:38:00,30.035
Trial1,5/16/13 08:38:05,30.035
Trial1,5/16/13 08:38:10,30.536
Trial1,5/16/13 08:38:15,30.536
Trial1,5/16/13 08:38:20,31.038
Trial1,5/16/13 08:38:25,31.038
Trial1,5/16/13 08:38:30,31.038
Trial1,5/16/13 08:38:35,31.038
Trial1,5/16/13 08:38:40,31.038
Trial1,5/16/13 08:38:45,30.536
Trial1,5/16/13 08:38:50,30.536
Trial1,5/16/13 08:38:55,30.536
