FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,m/s,m/s,m/s,°C,°C,%,°C,°C,°C,mb,m,m
2012-09-14 08:15:00,400925700,267,250,0.5,0.5,0.0,23.2,23.2,74.9,23.9,18.5,20.0,960.10,449,930
2012-09-14 08:15:30,400925730,259,242,0.4,0.4,-0.1,23.7,23.7,76.1,24.5,19.3,20.6,959.90,452,956
2012-09-14 08:16:00,400925760,253,235,0.8,0.8,-0.2,24.0,24.0,76.0,24.9,19.5,20.8,959.70,453,967
2012-09-14 08:16:30,400925790,245,227,1.1,1.0,-0.5,23.3,23.3,75.7,24.1,18.8,20.2,959.80,453,941
2012-09-14 08:17:00,400925820,244,227,0.6,0.5,-0.2,23.0,23.0,76.7,23.8,18.7,20.0,959.70,453,931
2012-09-14 08:17:30,400925850,244,227,0.5,0.4,-0.2,23.8,23.8,78.1,24.8,19.8,21.0,959.80,453,963
2012-09-14 08:18:00,400925880,248,230,1.6,1.5,-0.6,23.5,23.5,77.8,24.4,19.4,20.6,959.70,453,951
2012-09-14 08:18:30,400925910,254,237,1.8,1.7,-0.5,22.4,22.4,80.2,23.2,18.8,19.9,959.70,453,910
2012-09-14 08:19:00,400925940,256,239,0.8,0.8,-0.2,22.5,22.5,82.0,23.4,19.2,20.2,959.70,454,915
2012-09-14 08:19:30,400925970,227,210,0.4,0.3,-0.3,23.7,23.7,80.8,24.8,20.2,21.2,959.70,454,963
2012-09-14 08:20:00,400926000,216,198,1.4,0.8,-1.1,22.1,22.1,80.5,22.9,18.6,19.7,959.70,454,899
2012-09-14 08:20:30,400926030,216,198,0.9,0.6,-0.8,22.4,22.4,82.6,23.3,19.2,20.2,959.60,454,911
2012-09-14 08:21:00,400926060,218,200,1.7,1.1,-1.4,22.1,22.1,82.3,22.9,19.0,20.0,959.70,453,901
2012-09-14 08:21:30,400926090,147,129,0.4,0.2,-0.4,22.9,22.9,82.6,24.0,19.7,20.7,959.70,453,931
2012-09-14 08:22:00,400926120,147,129,1.0,0.5,-0.8,23.1,23.1,79.7,24.1,19.4,20.5,959.80,453,935
2012-09-14 08:22:30,400926150,147,129,1.0,0.6,-0.9,22.8,22.8,79.7,23.7,19.1,20.2,959.70,454,925
2012-09-14 08:23:00,400926180,146,129,0.8,0.4,-0.7,22.3,22.3,81.6,23.1,19.0,20.0,959.70,454,907
2012-09-14 08:23:30,400926210,148,130,0.5,0.2,-0.4,22.3,22.3,83.6,23.3,19.4,20.3,959.70,454,911
2012-09-14 08:24:00,400926240,146,129,1.2,0.7,-1.0,23.2,23.2,81.8,24.2,19.9,20.9,959.70,453,943
2012-09-14 08:24:30,400926270,146,128,0.9,0.5,-0.7,23.5,23.5,78.0,24.4,19.4,20.6,959.80,452,949
2012-09-14 08:25:00,400926300,146,128,1.2,0.7,-1.0,23.3,23.3,78.2,24.2,19.3,20.5,959.80,453,942
2012-09-14 08:25:30,400926330,146,129,1.0,0.6,-0.8,23.5,23.5,77.6,24.4,19.4,20.6,959.80,453,952
2012-09-14 08:26:00,400926360,145,128,1.5,0.9,-1.3,23.3,23.3,76.6,24.1,18.9,20.2,959.70,453,941
2012-09-14 08:26:30,400926390,76,59,2.9,2.8,0.7,22.4,22.4,76.1,23.1,18.0,19.4,959.80,452,903
2012-09-14 08:27:00,400926420,76,59,1.5,1.5,0.4,23.6,23.6,76.9,24.5,19.3,20.6,959.80,453,953
2012-09-14 08:27:30,400926450,51,33,2.8,2.1,1.8,22.5,22.5,74.2,23.1,17.7,19.2,959.90,452,907
2012-09-14 08:28:00,400926480,51,33,1.9,1.5,1.2,22.5,22.5,77.0,23.2,18.3,19.6,959.80,453,910
2012-09-14 08:28:30,400926510,51,33,2.1,1.6,1.3,22.6,22.6,76.2,23.3,18.2,19.6,959.90,452,911
2012-09-14 08:29:00,400926540,51,33,0.8,0.6,0.5,23.3,23.3,76.5,24.1,19.0,20.3,959.90,452,942
2012-09-14 08:29:30,400926570,50,33,2.1,1.6,1.3,22.3,22.3,75.5,23.0,17.7,19.2,959.90,452,898
2012-09-14 08:30:00,400926600,82,64,1.9,1.9,0.3,23.5,23.5,77.7,24.4,19.4,20.6,959.70,453,951
2012-09-14 08:30:30,400926630,75,58,3.1,3.0,0.8,23.7,23.7,77.7,24.6,19.6,20.8,959.80,453,959
2012-09-14 08:31:00,400926660,79,62,3.1,3.1,0.6,22.9,22.9,75.2,23.6,18.3,19.7,959.80,453,924
2012-09-14 08:31:30,400926690,77,60,2.5,2.5,0.6,23.1,23.1,76.8,23.9,18.8,20.1,959.80,452,933
2012-09-14 08:32:00,400926720,77,60,1.6,1.6,0.4,23.4,23.4,76.4,24.2,19.0,20.3,959.80,452,944
2012-09-14 08:32:30,400926750,69,52,1.8,1.7,0.6,22.9,22.9,75.4,23.6,18.3,19.7,959.80,452,921
2012-09-14 08:33:00,400926780,69,52,1.3,1.3,0.5,22.6,22.6,77.1,23.3,18.4,19.7,959.70,454,916
2012-09-14 08:33:30,400926810,70,53,2.2,2.0,0.7,23.0,23.0,76.9,23.8,18.7,20.0,959.70,453,929
2012-09-14 08:34:00,400926840,70,53,1.5,1.4,0.5,22.9,22.9,77.8,23.7,18.9,20.1,959.80,453,928
2012-09-14 08:34:30,400926870,70,53,0.5,0.4,0.2,24.2,24.2,77.5,25.2,20.0,21.2,959.80,452,976
2012-09-14 08:35:00,400926900,70,52,1.2,1.1,0.4,23.4,23.4,74.1,24.1,18.5,20.0,959.80,453,942
2012-09-14 08:35:30,400926930,95,77,2.1,2.1,-0.2,23.9,23.9,73.9,24.7,19.0,20.5,959.80,453,963
2012-09-14 08:36:00,400926960,48,30,2.5,1.8,1.7,23.8,23.8,73.7,24.5,18.8,20.3,959.90,451,956
2012-09-14 08:36:30,400926990,51,34,2.8,2.2,1.7,23.7,23.7,73.8,24.4,18.7,20.2,959.80,452,952
2012-09-14 08:37:00,400927020,62,45,2.2,1.9,1.0,22.9,22.9,74.6,23.5,18.1,19.6,959.80,453,922
2012-09-14 08:37:30,400927050,62,45,1.6,1.4,0.7,23.3,23.3,75.5,24.1,18.7,20.1,959.80,453,941
2012-09-14 08:38:00,400927080,70,52,1.3,1.2,0.4,23.0,23.0,74.4,23.6,18.2,19.7,959.90,452,926
2012-09-14 08:38:30,400927110,68,50,2.6,2.4,1.0,22.7,22.7,74.2,23.3,17.8,19.4,959.90,452,912
2012-09-14 08:39:00,400927140,68,50,1.8,1.6,0.7,23.4,23.4,75.9,24.2,18.9,20.2,959.80,453,945
2012-09-14 08:39:30,400927170,68,50,2.2,2.1,0.8,23.5,23.5,73.7,24.2,18.5,20.0,959.90,452,944
2012-09-14 08:40:00,400927200,68,50,1.4,1.3,0.5,23.1,23.1,73.5,23.8,18.1,19.7,959.90,452,929
2012-09-14 08:40:30,400927230,68,50,1.3,1.2,0.5,23.2,23.2,73.0,23.8,18.1,19.7,959.90,452,931
