FORMATTED DATE-TIME,DT,MG,TR,WS,CW,HW,TP,WC,RH,HI,DP,WB,BP,AL,DA
YYYY-MM-DD HH:MM:SS,s,Mag,True,m/s,m/s,m/s,°C,°C,%,°C,°C,°C,mb,m,m
2014-10-01 08:27:50,465467270,156,139,0.3,0.1,-0.3,23.1,23.1,37.3,21.9,7.7,14.1,969.80,366,780
2014-10-01 08:28:00,465467280,102,85,1.3,1.3,-0.3,22.6,22.6,37.4,21.5,7.3,13.7,969.80,365,760
2014-10-01 08:28:10,465467290,335,317,0.7,0.3,0.6,22.2,22.2,37.3,21.1,6.9,13.4,969.70,366,746
2014-10-01 08:28:20,465467300,319,301,0.0,0.0,0.0,23.0,23.0,38.7,21.9,8.2,14.3,969.80,366,781
2014-10-01 08:28:30,465467310,91,73,0.5,0.5,0.0,23.9,23.9,38.9,22.7,9.1,15.0,969.70,367,812
2014-10-01 08:28:40,465467320,159,141,1.1,0.4,-1.0,23.4,23.4,37.9,22.2,8.2,14.4,969.60,368,794
2014-10-01 08:28:50,465467330,141,123,1.6,1.0,-1.2,22.6,22.6,36.7,21.5,7.0,13.6,969.60,368,764
2014-10-01 08:29:00,465467340,85,67,0.7,0.7,0.1,22.7,22.7,37.0,21.6,7.2,13.7,969.50,369,769
2014-10-01 08:29:10,465467350,48,30,0.6,0.5,0.4,23.8,23.8,38.7,22.6,8.9,14.9,969.70,367,812
2014-10-01 08:29:20,465467360,55,38,0.4,0.3,0.2,24.5,24.5,38.8,23.2,9.5,15.4,969.70,367,836
2014-10-01 08:29:30,465467370,66,48,1.5,1.4,0.6,24.9,24.9,37.9,23.5,9.6,15.6,969.70,366,849
2014-10-01 08:29:40,465467380,161,144,2.3,0.8,-2.2,23.2,23.2,35.9,21.9,7.2,13.9,969.70,367,783
2014-10-01 08:29:50,465467390,138,121,0.5,0.3,-0.4,23.3,23.3,35.8,22.0,7.3,14.0,969.60,368,789
2014-10-01 08:30:00,465467400,124,107,0.0,0.0,0.0,24.2,24.2,37.8,22.8,8.9,15.0,969.50,368,826
2014-10-01 08:30:10,465467410,75,58,0.0,0.0,0.0,24.8,24.8,38.0,23.4,9.6,15.6,969.70,367,848
2014-10-01 08:30:20,465467420,15,357,0.0,0.0,0.0,25.1,25.1,38.2,23.7,9.9,15.8,969.80,366,856
2014-10-01 08:30:30,465467430,354,337,0.0,0.0,0.0,25.3,25.3,36.6,23.8,9.4,15.7,969.90,365,861
2014-10-01 08:30:40,465467440,357,340,1.5,0.1,1.5,24.2,24.2,35.1,22.7,7.8,14.6,969.80,366,820
2014-10-01 08:30:50,465467450,354,337,1.6,0.2,1.6,23.0,23.0,34.6,21.7,6.6,13.6,969.80,366,775
2014-10-01 08:31:00,465467460,354,337,1.0,0.1,1.0,22.8,22.8,35.5,21.5,6.8,13.6,969.80,366,770
