"¥éË""Plot Title: Logger 2""",,,,,
#,"Date Time, GMT+02:00","K-Type, ŒÁC (LGR S/N: 10297654, SEN S/N: 10297654, LBL: TempFire)",,,End Of File (LGR S/N: 10297654)
141,10/03/2014 07:02:20,-888.88,,,
142,10/03/2014 07:02:21,-888.88,,,
143,10/03/2014 07:02:22,-888.88,,,
144,10/03/2014 07:02:23,-888.88,,,
145,10/03/2014 07:02:24,-888.88,,,
146,10/03/2014 07:02:25,-888.88,,,
147,10/03/2014 07:02:26,-888.88,,,
148,10/03/2014 07:02:27,-888.88,,,
149,10/03/2014 07:02:28,-888.88,,,
150,10/03/2014 07:02:29,-888.88,,,
151,10/03/2014 07:02:30,-888.88,,,
152,10/03/2014 07:02:31,-888.88,,,
153,10/03/2014 07:02:32,-888.88,,,
154,10/03/2014 07:02:33,-888.88,,,
155,10/03/2014 07:02:34,-888.88,,,
156,10/03/2014 07:02:35,-888.88,,,
157,10/03/2014 07:02:36,-888.88,,,
158,10/03/2014 07:02:37,-888.88,,,
159,10/03/2014 07:02:38,-888.88,,,
160,10/03/2014 07:02:39,-888.88,,,
161,10/03/2014 07:02:40,-888.88,,,
162,10/03/2014 07:02:41,-888.88,,,
163,10/03/2014 07:02:42,-888.88,,,
164,10/03/2014 07:02:43,-888.88,,,
165,10/03/2014 07:02:44,-888.88,,,
166,10/03/2014 07:02:45,-888.88,,,
167,10/03/2014 07:02:46,-888.88,,,
168,10/03/2014 07:02:47,-888.88,,,
169,10/03/2014 07:02:48,-888.88,,,
170,10/03/2014 07:02:49,-888.88,,,
171,10/03/2014 07:02:50,-888.88,,,
172,10/03/2014 07:02:51,-888.88,,,
173,10/03/2014 07:02:52,-888.88,,,
174,10/03/2014 07:02:53,-888.88,,,
175,10/03/2014 07:02:54,-888.88,,,
176,10/03/2014 07:02:55,-888.88,,,
177,10/03/2014 07:02:56,-888.88,,,
178,10/03/2014 07:02:57,-888.88,,,
179,10/03/2014 07:02:58,-888.88,,,
180,10/03/2014 07:02:59,-888.88,,,
181,10/03/2014 07:03:00,-888.88,,,
182,10/03/2014 07:03:01,-888.88,,,
183,10/03/2014 07:03:02,-888.88,,,
184,10/03/2014 07:03:03,-888.88,,,
185,10/03/2014 07:03:04,-888.88,,,
186,10/03/2014 07:03:05,-888.88,,,
187,10/03/2014 07:03:06,-888.88,,,
188,10/03/2014 07:03:07,-888.88,,,
189,10/03/2014 07:03:08,-888.88,,,
190,10/03/2014 07:03:09,-888.88,,,
191,10/03/2014 07:03:10,-888.88,,,
192,10/03/2014 07:03:11,-888.88,,,
193,10/03/2014 07:03:12,-888.88,,,
194,10/03/2014 07:03:13,-888.88,,,
195,10/03/2014 07:03:14,-888.88,,,
196,10/03/2014 07:03:15,-888.88,,,
197,10/03/2014 07:03:16,-888.88,,,
198,10/03/2014 07:03:17,-888.88,,,
199,10/03/2014 07:03:18,-888.88,,,
200,10/03/2014 07:03:19,-888.88,,,
201,10/03/2014 07:03:20,-888.88,,,
